,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
115,Bandido,"Myke Towers",263667,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
116,"Lonely (with benny blanco)","Justin Bieber",263194,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
117,"Gravity (feat. Tyler, The Creator)","Brent Faiyaz",260629,https://open.spotify.com/track/6u3CPnFMKANYgfdiifFOiJ
118,21,"Polo G",259806,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
119,"Put Your Records On","Ritt Momney",259711,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
120,"Godzilla (feat. Juice WRLD)",Eminem,258355,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
121,Arcade,"Duncan Laurence",255645,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
122,"XO Tour Llif3","Lil Uzi Vert",253395,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
123,"Go Crazy","Chris Brown",253177,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
124,SugarCrash!,ElyOtto,251405,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
125,BOP,DaBaby,251364,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
126,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",251131,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
127,"POPSTAR (feat. Drake)","DJ Khaled",251116,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
128,"Star Shopping","Lil Peep",250414,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
129,SAD!,XXXTENTACION,249486,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
130,Golden,"Harry Styles",248189,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
131,"Don't Start Now","Dua Lipa",247686,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
132,"3, 2, 1",24kGoldn,247574,https://open.spotify.com/track/1bFoCHXsP2qd4YWi2JmlCN
133,"Way Out (feat. Big Sean)","Jack Harlow",246775,https://open.spotify.com/track/57VeLYXrvNxe8Vs18K2M9W
134,"If the World Was Ending - feat. Julia Michaels","JP Saxe",245801,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
